bike_name,price,city,kms_driven,owner,age,power,brand
TVS Apache RTR 180cc,60000.0,Delhi,2400.0,First Owner,3.0,180.0,TVS
TVS Apache RTR 180cc,60000.0,Delhi,2400.0,First Owner,3.0,180.0,TVS
TVS Apache RTR 200 4V ABS Race Edition,58742.0,Delhi,11068.0,First Owner,3.0,200.0,TVS
TVS Apache RTR 200 4V ABS Race Edition,58742.0,Delhi,11068.0,First Owner,3.0,200.0,TVS
TVS Apache RTR 180cc,42000.0,Delhi,30862.0,First Owner,5.0,180.0,TVS
TVS Apache RTR 180cc,45000.0,Delhi,18611.0,First Owner,5.0,180.0,TVS
TVS Apache RTR 180cc ABS,53000.0,Delhi,29800.0,First Owner,4.0,180.0,TVS
TVS Apache RTR 180cc,48000.0,Delhi,18533.0,First Owner,5.0,180.0,TVS
